37 89
a1 a2
a1 a5
a1 a8
a1 a10
a1 a11
a1 a16
a1 a18
a1 a20
a1 a21
a1 a27
a2 a3
a2 a6
a2 a10
a2 a11
a3 a4
a3 a7
a3 a11
a3 a16
a3 a17
a3 a20
a3 a22
a3 a24
a4 a5
a4 a8
a4 a13
a4 a15
a4 a18
a4 a21
a4 a22
a4 a23
a5 a6
a5 a9
a5 a10
a5 a15
a5 a19
a5 a20
a5 a22
a5 a24
a6 a7
a6 a9
a6 a10
a6 a12
a6 a13
a6 a15
a6 a18
a6 a20
a6 a26
a7 a8
a7 a12
a7 a16
a7 a21
a7 a29
a9 a17
a9 a25
a10 a16
a10 a20
a10 a25
a10 a28
a11 a13
a11 a17
a11 a25
a11 a28
a12 a17
a12 a23
a12 a25
a13 a14
a13 a18
a14 a17
a14 a25
a14 a26
a14 a28
a16 a27
a17 a21
a17 a29
a19 a20
a19 a26
a20 a22
a20 a26
a22 a24
a22 a26
a22 a30
a26 a28
a31 a32
a31 a33
a31 a34
a31 a35
a31 a36
a31 a37
a1 a31
49 121
b1 b2
b1 b5
b1 b8
b1 b23
b1 b25
b1 b27
b1 b34
b1 b35
b1 b39
b2 b3
b2 b6
b2 b9
b2 b21
b2 b27
b2 b32
b2 b35
b2 b37
b2 b38
b3 b4
b3 b7
b3 b12
b3 b14
b3 b15
b3 b16
b3 b20
b3 b21
b3 b22
b3 b26
b3 b30
b3 b31
b3 b39
b4 b5
b4 b8
b4 b12
b4 b14
b4 b19
b4 b23
b4 b24
b4 b25
b4 b26
b4 b29
b4 b30
b4 b34
b4 b35
b4 b37
b5 b6
b5 b12
b5 b22
b5 b23
b5 b30
b5 b31
b5 b33
b5 b34
b5 b35
b6 b7
b6 b11
b6 b16
b6 b19
b6 b22
b6 b27
b6 b28
b6 b33
b6 b35
b6 b36
b6 b37
b6 b39
b7 b8
b7 b20
b7 b21
b7 b24
b7 b28
b7 b39
b9 b13
b9 b14
b9 b16
b9 b26
b9 b35
b9 b40
b10 b15
b11 b23
b11 b31
b11 b32
b12 b24
b12 b35
b13 b19
b13 b30
b13 b39
b14 b29
b15 b24
b15 b31
b15 b39
b16 b26
b16 b39
b18 b38
b19 b28
b21 b31
b21 b38
b21 b39
b22 b30
b22 b33
b22 b35
b23 b34
b23 b38
b24 b25
b28 b33
b29 b34
b29 b36
b32 b33
b33 b35
b33 b40
b36 b37
b38 b39
b41 b42
b42 b43
b43 b44
b44 b45
b45 b46
b45 b47
b45 b48
b45 b49
b1 b41
