20 51
a1 a2
a1 a3
a1 a4
a1 a5
a1 a6
a1 a8
a1 a10
a1 a13
a1 a15
a1 a18
a2 a3
a2 a4
a2 a10
a2 a15
a2 a16
a2 a17
a3 a4
a3 a6
a3 a10
a3 a12
a3 a16
a5 a8
a5 a10
a5 a18
a6 a13
a7 a9
a7 a10
a7 a11
a8 a9
a8 a14
a8 a20
a9 a13
a10 a11
a10 a15
a10 a16
a10 a17
a10 a18
a10 a19
a11 a14
a12 a13
a12 a15
a12 a17
a13 a17
a13 a18
a14 a18
a14 a19
a16 a18
a16 a20
a17 a18
a17 a20
a19 a20
30 66
b1 b2
b1 b3
b1 b4
b1 b8
b1 b9
b1 b10
b1 b12
b1 b19
b1 b24
b1 b25
b2 b3
b2 b4
b2 b17
b2 b18
b2 b21
b2 b23
b2 b25
b2 b28
b3 b4
b3 b8
b3 b9
b3 b10
b3 b14
b3 b15
b3 b17
b3 b26
b5 b21
b5 b24
b5 b25
b6 b8
b6 b9
b7 b28
b8 b15
b8 b16
b8 b19
b9 b27
b10 b15
b10 b18
b10 b24
b10 b28
b11 b19
b12 b20
b12 b21
b12 b23
b13 b21
b13 b25
b13 b30
b14 b24
b14 b29
b15 b16
b15 b17
b16 b20
b16 b27
b17 b22
b17 b23
b18 b24
b18 b26
b18 b28
b18 b29
b19 b26
b21 b24
b21 b25
b23 b26
b24 b29
b24 b30
b27 b29
