a1 b1 226
a2 b2 212
a3 b3 247
a4 b4 211
a5 b5 218
a6 b6 227
a7 b7 202
a8 b8 248
a9 b9 208
a10 b10 200
a11 b11 228
a12 b12 214
a13 b13 203
a14 b14 206
a15 b15 216
a16 b16 245
a17 b17 238
a18 b18 202
a19 b19 217
a20 b20 214
a21 b21 223
a22 b22 222
a23 b23 220
a24 b24 235
a25 b25 209
a26 b26 234
a27 b27 248
a28 b28 240
a29 b29 243
a30 b30 202
a31 b31 233
a32 b32 231
a33 b33 212
a34 b34 227
a35 b35 224
a36 b36 215
a37 b37 231
a38 b38 226
a39 b39 245
a40 b40 206
a41 b41 213
a42 b42 203
a43 b43 225
a44 b44 213
a45 b45 206
a46 b46 231
a47 b47 238
a48 b48 233
a49 b49 233
a50 b50 234
a0 b0 156.25
a0 b2 156.25
a0 b5 155.55555555555554
a0 b6 150
a0 b7 155.55555555555554
a0 b8 156.25
a0 b10 150
a0 b11 156.25
a0 b14 155.55555555555554
a0 b15 155.55555555555554
a0 b17 150
a0 b18 156.25
a0 b21 150
a0 b22 156.25
a0 b52 155.55555555555554
a0 b63 150
a0 b68 150
a0 b79 150
a0 b89 150
a0 b91 150
a2 b0 150
a2 b2 150
a2 b4 157.14285714285714
a2 b6 156.25
a2 b8 150
a2 b10 156.25
a2 b11 150
a2 b13 157.14285714285714
a2 b17 156.25
a2 b18 150
a2 b21 156.25
a2 b22 150
a2 b23 157.14285714285714
a2 b26 157.14285714285714
a2 b63 156.25
a2 b68 156.25
a2 b79 156.25
a2 b87 157.14285714285714
a2 b89 156.25
a2 b91 156.25
a3 b3 150
a3 b5 155.0
a3 b7 155.0
a3 b9 154.54545454545456
a3 b14 155.0
a3 b15 155.0
a3 b52 155.0
a4 b4 158.33333333333331
a4 b13 158.33333333333331
a4 b16 160.0
a4 b20 150
a4 b23 158.33333333333331
a4 b24 150
a4 b25 150
a4 b26 158.33333333333331
a4 b28 160.0
a4 b30 150
a4 b33 160.0
a4 b34 150
a4 b35 150
a4 b37 160.0
a4 b40 160.0
a4 b43 160.0
a4 b44 160.0
a4 b50 150
a4 b51 160.0
a4 b53 160.0
a4 b57 150
a4 b59 160.0
a4 b64 150
a4 b65 150
a4 b67 150
a4 b69 150
a4 b71 160.0
a4 b72 150
a4 b73 160.0
a4 b74 160.0
a4 b76 150
a4 b77 160.0
a4 b84 150
a4 b86 160.0
a4 b87 158.33333333333331
a4 b88 160.0
a4 b90 160.0
a4 b92 150
a4 b93 160.0
a4 b97 150
a4 b98 150
a5 b9 154.16666666666669
a5 b12 150
a5 b29 150
a6 b3 155.0
a6 b5 150
a6 b6 155.55555555555554
a6 b7 150
a6 b10 155.55555555555554
a6 b14 150
a6 b15 150
a6 b17 155.55555555555554
a6 b21 155.55555555555554
a6 b52 150
a6 b63 155.55555555555554
a6 b68 155.55555555555554
a6 b79 155.55555555555554
a6 b89 155.55555555555554
a6 b91 155.55555555555554
a7 b3 154.54545454545456
a7 b9 150
a7 b12 154.16666666666669
a7 b29 154.16666666666669
a8 b0 150
a8 b2 150
a8 b4 157.14285714285714
a8 b6 156.25
a8 b8 150
a8 b10 156.25
a8 b11 150
a8 b13 157.14285714285714
a8 b17 156.25
a8 b18 150
a8 b21 156.25
a8 b22 150
a8 b23 157.14285714285714
a8 b26 157.14285714285714
a8 b63 156.25
a8 b68 156.25
a8 b79 156.25
a8 b87 157.14285714285714
a8 b89 156.25
a8 b91 156.25
a9 b3 155.0
a9 b5 150
a9 b6 155.55555555555554
a9 b7 150
a9 b10 155.55555555555554
a9 b14 150
a9 b15 150
a9 b17 155.55555555555554
a9 b21 155.55555555555554
a9 b52 150
a9 b63 155.55555555555554
a9 b68 155.55555555555554
a9 b79 155.55555555555554
a9 b89 155.55555555555554
a9 b91 155.55555555555554
a10 b3 155.0
a10 b5 150
a10 b6 155.55555555555554
a10 b7 150
a10 b10 155.55555555555554
a10 b14 150
a10 b15 150
a10 b17 155.55555555555554
a10 b21 155.55555555555554
a10 b52 150
a10 b63 155.55555555555554
a10 b68 155.55555555555554
a10 b79 155.55555555555554
a10 b89 155.55555555555554
a10 b91 155.55555555555554
a11 b0 157.14285714285714
a11 b2 157.14285714285714
a11 b4 150
a11 b8 157.14285714285714
a11 b11 157.14285714285714
a11 b13 150
a11 b18 157.14285714285714
a11 b20 158.33333333333331
a11 b22 157.14285714285714
a11 b23 150
a11 b24 158.33333333333331
a11 b25 158.33333333333331
a11 b26 150
a11 b30 158.33333333333331
a11 b34 158.33333333333331
a11 b35 158.33333333333331
a11 b50 158.33333333333331
a11 b57 158.33333333333331
a11 b64 158.33333333333331
a11 b65 158.33333333333331
a11 b67 158.33333333333331
a11 b69 158.33333333333331
a11 b72 158.33333333333331
a11 b76 158.33333333333331
a11 b84 158.33333333333331
a11 b87 150
a11 b92 158.33333333333331
a11 b97 158.33333333333331
a11 b98 158.33333333333331
a12 b3 155.0
a12 b5 150
a12 b6 155.55555555555554
a12 b7 150
a12 b10 155.55555555555554
a12 b14 150
a12 b15 150
a12 b17 155.55555555555554
a12 b21 155.55555555555554
a12 b52 150
a12 b63 155.55555555555554
a12 b68 155.55555555555554
a12 b79 155.55555555555554
a12 b89 155.55555555555554
a12 b91 155.55555555555554
a13 b0 150
a13 b2 150
a13 b4 157.14285714285714
a13 b6 156.25
a13 b8 150
a13 b10 156.25
a13 b11 150
a13 b13 157.14285714285714
a13 b17 156.25
a13 b18 150
a13 b21 156.25
a13 b22 150
a13 b23 157.14285714285714
a13 b26 157.14285714285714
a13 b63 156.25
a13 b68 156.25
a13 b79 156.25
a13 b87 157.14285714285714
a13 b89 156.25
a13 b91 156.25
a14 b9 154.16666666666669
a14 b12 150
a14 b29 150
a15 b0 156.25
a15 b2 156.25
a15 b5 155.55555555555554
a15 b6 150
a15 b7 155.55555555555554
a15 b8 156.25
a15 b10 150
a15 b11 156.25
a15 b14 155.55555555555554
a15 b15 155.55555555555554
a15 b17 150
a15 b18 156.25
a15 b21 150
a15 b22 156.25
a15 b52 155.55555555555554
a15 b63 150
a15 b68 150
a15 b79 150
a15 b89 150
a15 b91 150
a16 b4 158.33333333333331
a16 b13 158.33333333333331
a16 b16 160.0
a16 b20 150
a16 b23 158.33333333333331
a16 b24 150
a16 b25 150
a16 b26 158.33333333333331
a16 b28 160.0
a16 b30 150
a16 b33 160.0
a16 b34 150
a16 b35 150
a16 b37 160.0
a16 b40 160.0
a16 b43 160.0
a16 b44 160.0
a16 b50 150
a16 b51 160.0
a16 b53 160.0
a16 b57 150
a16 b59 160.0
a16 b64 150
a16 b65 150
a16 b67 150
a16 b69 150
a16 b71 160.0
a16 b72 150
a16 b73 160.0
a16 b74 160.0
a16 b76 150
a16 b77 160.0
a16 b84 150
a16 b86 160.0
a16 b87 158.33333333333331
a16 b88 160.0
a16 b90 160.0
a16 b92 150
a16 b93 160.0
a16 b97 150
a16 b98 150
a17 b0 150
a17 b2 150
a17 b4 157.14285714285714
a17 b6 156.25
a17 b8 150
a17 b10 156.25
a17 b11 150
a17 b13 157.14285714285714
