130 370
a1 a5
a1 a7
a1 a14
a1 a17
a1 a19
a1 a22
a1 a25
a1 a40
a1 a42
a2 a4
a2 a6
a2 a10
a2 a12
a2 a17
a2 a19
a2 a24
a2 a28
a2 a30
a2 a34
a2 a41
a2 a44
a2 a48
a2 a72
a2 a79
a2 a96
a3 a9
a3 a22
a3 a26
a3 a27
a3 a31
a3 a36
a3 a39
a3 a41
a3 a42
a4 a7
a4 a8
a4 a11
a4 a13
a4 a31
a4 a34
a4 a44
a4 a98
a5 a22
a5 a25
a5 a31
a5 a32
a5 a33
a5 a48
a5 a49
a5 a59
a6 a20
a6 a36
a6 a63
a7 a11
a7 a14
a7 a17
a7 a20
a7 a21
a7 a36
a7 a42
a7 a52
a7 a54
a7 a82
a7 a95
a7 a98
a8 a10
a8 a21
a8 a26
a8 a27
a8 a35
a8 a46
a8 a48
a8 a55
a8 a68
a9 a13
a9 a25
a9 a26
a9 a27
a9 a33
a9 a35
a9 a36
a9 a41
a9 a46
a9 a76
a10 a17
a10 a23
a10 a25
a10 a27
a10 a28
a10 a31
a10 a35
a10 a36
a10 a62
a10 a86
a11 a17
a11 a25
a11 a31
a11 a32
a11 a33
a11 a35
a11 a36
a11 a40
a11 a61
a12 a16
a12 a22
a12 a24
a12 a28
a12 a31
a12 a36
a12 a38
a12 a40
a12 a41
a12 a46
a12 a85
a12 a87
a13 a15
a13 a19
a13 a23
a13 a24
a13 a26
a13 a27
a13 a29
a13 a36
a13 a43
a13 a49
a14 a16
a14 a18
a14 a31
a14 a39
a14 a44
a14 a60
a14 a73
a14 a78
a15 a18
a15 a25
a15 a34
a15 a36
a15 a39
a15 a44
a15 a45
a15 a66
a15 a97
a16 a23
a16 a25
a16 a34
a16 a39
a16 a45
a16 a55
a16 a97
a17 a23
a17 a30
a17 a32
a17 a37
a17 a41
a17 a42
a17 a54
a17 a65
a17 a73
a17 a81
a17 a98
a18 a34
a18 a38
a18 a42
a18 a90
a18 a99
a19 a22
a19 a23
a20 a41
a20 a43
a20 a49
a20 a95
a21 a24
a21 a27
a21 a28
a21 a45
a21 a47
a21 a48
a21 a71
a21 a76
a22 a24
a22 a47
a22 a59
a22 a72
a22 a73
a23 a33
a23 a36
a23 a41
a23 a63
a24 a26
a24 a31
a24 a33
a24 a38
a24 a40
a24 a43
a24 a45
a24 a47
a24 a52
a24 a81
a24 a86
a25 a26
a25 a28
a25 a32
a25 a47
a26 a29
a26 a31
a26 a40
a26 a45
a26 a70
a26 a82
a26 a92
a27 a39
a27 a47
a27 a70
a28 a37
a28 a44
a28 a47
a28 a56
a28 a58
