100 300
a1 a2
a1 a6
a1 a7
a1 a10
a1 a15
a1 a27
a1 a28
a1 a29
a1 a75
a2 a3
a2 a7
a2 a9
a2 a10
a2 a14
a2 a24
a2 a33
a2 a35
a2 a36
a2 a37
a2 a46
a2 a49
a2 a57
a2 a72
a3 a7
a3 a9
a3 a28
a3 a34
a3 a38
a3 a89
a4 a5
a4 a9
a4 a10
a4 a14
a4 a16
a4 a22
a4 a28
a4 a29
a4 a33
a4 a38
a4 a44
a4 a88
a5 a8
a5 a10
a5 a34
a5 a37
a5 a39
a6 a17
a6 a19
a6 a24
a6 a26
a6 a32
a6 a33
a6 a42
a6 a44
a6 a48
a6 a80
a7 a9
a7 a15
a7 a16
a7 a21
a7 a23
a7 a39
a7 a40
a7 a42
a7 a43
a7 a45
a7 a83
a8 a12
a8 a26
a8 a30
a8 a35
a8 a37
a8 a41
a8 a82
a8 a85
a9 a10
a9 a16
a9 a22
a9 a31
a9 a36
a9 a38
a9 a44
a9 a45
a9 a98
a10 a13
a10 a28
a10 a36
a10 a46
a10 a54
a10 a82
a11 a14
a11 a17
a11 a25
a11 a29
a11 a36
a11 a44
a11 a45
a11 a75
a12 a18
a12 a22
a12 a23
a12 a26
a12 a28
a12 a30
a12 a31
a12 a33
a12 a35
a12 a45
a12 a47
a12 a87
a13 a16
a13 a37
a13 a39
a13 a47
a13 a49
a14 a29
a14 a38
a14 a49
a15 a18
a15 a19
a15 a22
a16 a24
a16 a28
a16 a29
a16 a35
a16 a40
a16 a52
a17 a34
a17 a37
a17 a44
a17 a45
a17 a60
a17 a82
a17 a93
a18 a33
a18 a36
a18 a38
a18 a43
a18 a85
a18 a95
a19 a33
a19 a39
a19 a40
a19 a48
a19 a49
a19 a58
a19 a59
a20 a31
a20 a32
a20 a60
a20 a63
a20 a81
a21 a22
a21 a25
a21 a36
a21 a38
a21 a46
a21 a47
a21 a49
a21 a86
a22 a54
a23 a24
a23 a27
a23 a43
a23 a45
a24 a30
a24 a37
a24 a38
a24 a42
a24 a46
a25 a41
a25 a46
a25 a99
a26 a34
a26 a35
a26 a39
a26 a41
a26 a43
a26 a46
a26 a48
a26 a83
a26 a87
a27 a30
a27 a40
a27 a42
a27 a48
a27 a83
a28 a69
a29 a32
a29 a33
a29 a54
a30 a35
a30 a43
a30 a49
a31 a33
a31 a36
a31 a39
a31 a44
a31 a48
a31 a94
a32 a41
a32 a42
a32 a46
a32 a47
a32 a49
a32 a93
a34 a36
a34 a38
a34 a40
a34 a43
a34 a46
a35 a47
a35 a48
a35 a70
a35 a72
a36 a38
a36 a39
a37 a41
a37 a44
a37 a46
a37 a48
a37 a49
a37 a95
a38 a40
a38 a49
a38 a94
a39 a40
a39 a41
a39 a46
a39 a53
a40 a49
a40 a60
a40 a73
a40 a74
a41 a43
a41 a52
a42 a45
a42 a46
a42 a47
a42 a49
a42 a91
a43 a46
a43 a73
a44 a46
a44 a54
a44 a57
a44 a95
a44 a97
a46 a48
a46 a49
a51 a94
a52 a62
a52 a99
a53 a62
a54 a76
a54 a86
a55 a83
a55 a88
a56 a80
a57 a62
a57 a78
a59 a64
a59 a100
a60 a83
a60 a89
a61 a99
a63 a76
a64 a66
a64 a80
a64 a90
a65 a69
a65 a71
a66 a88
a66 a92
a67 a68
a69 a71
a69 a75
a69 a78
a71 a73
a71 a90
a71 a91
a72 a88
a73 a78
a73 a95
a74 a96
a75 a79
a75 a86
a76 a83
a79 a80
a79 a85
a80 a84
a81 a99
a83 a90
a84 a88
a84 a98
a85 a89
a87 a100
a88 a95
a88 a96
a90 a96
70 400
b1 b2
b1 b6
b1 b7
b1 b10
b1 b15
b1 b27
b1 b28
b1 b29
b1 b51
b2 b3
b2 b7
b2 b9
b2 b10
b2 b14
b2 b24
b2 b33
b2 b35
b2 b36
b2 b37
b2 b46
b2 b49
b2 b60
b3 b7
b3 b9
b3 b28
b3 b34
b3 b38
b3 b53
b3 b67
b4 b5
b4 b9
b4 b10
b4 b14
b4 b16
b4 b22
b4 b28
b4 b29
b4 b33
b4 b38
b4 b44
b4 b60
b4 b63
b4 b67
b5 b8
b5 b10
b5 b34
b5 b37
b5 b39
b5 b51
b5 b68
b6 b17
b6 b19
b6 b24
b6 b26
b6 b32
b6 b33
b6 b42
b6 b44
b6 b48
b6 b62
b6 b63
b6 b66
b6 b67
b6 b68
b7 b9
b7 b15
b7 b16
b7 b21
b7 b23
b7 b39
b7 b40
b7 b42
b7 b43
b7 b45
b7 b51
b7 b52
b8 b12
b8 b26
b8 b30
b8 b35
b8 b37
b8 b41
b8 b63
b9 b10
b9 b16
b9 b22
b9 b31
b9 b36
b9 b38
b9 b44
b9 b45
b9 b56
b10 b13
b10 b28
b10 b36
b10 b46
b10 b65
b11 b14
b11 b17
b11 b25
b11 b29
b11 b36
b11 b44
b11 b45
b11 b58
b11 b62
b12 b18
b12 b22
b12 b23
b12 b26
b12 b28
b12 b30
b12 b31
b12 b33
b12 b35
b12 b45
b12 b47
b12 b67
b13 b16
b13 b37
b13 b39
b13 b47
b13 b49
b13 b54
b13 b62
b14 b29
b14 b38
b14 b49
b14 b57
b14 b65
b15 b18
b15 b19
b15 b22
b15 b59
b15 b68
b16 b24
b16 b28
b16 b29
b16 b35
b16 b40
b16 b63
b17 b34
b17 b37
b17 b44
b17 b45
b17 b52
b17 b59
b17 b61
b17 b66
b18 b33
b18 b36
b18 b38
b18 b43
b18 b60
b18 b64
b18 b68
b19 b33
b19 b39
b19 b40
b19 b48
b19 b49
b19 b55
b20 b31
b20 b32
b20 b51
b20 b58
b20 b65
b20 b67
b20 b69
b21 b22
b21 b25
b21 b36
b21 b38
b21 b46
b21 b47
b21 b49
b21 b54
b21 b61
b21 b62
b21 b65
b21 b67
b22 b53
b22 b54
b23 b24
b23 b27
b23 b43
b23 b45
b23 b55
b23 b58
b23 b60
b23 b66
b24 b30
b24 b37
b24 b38
b24 b42
b24 b46
b24 b63
b25 b41
b25 b46
b25 b59
b26 b34
b26 b35
b26 b39
b26 b41
b26 b43
b26 b46
b26 b48
b27 b30
b27 b40
b27 b42
b27 b48
b27 b60
b28 b58
b29 b32
b29 b33
b29 b55
b29 b60
b30 b35
b30 b43
b30 b49
b30 b62
b30 b69
b31 b33
b31 b36
b31 b39
b31 b44
b31 b48
b31 b51
b31 b57
b31 b60
b32 b41
b32 b42
b32 b46
b32 b47
b32 b49
b32 b57
b33 b56
b33 b57
b34 b36
b34 b38
b34 b40
b34 b43
b34 b46
b35 b47
b35 b48
b36 b38
b36 b39
b36 b60
b36 b61
b37 b41
b37 b44
b37 b46
b37 b48
b37 b49
b37 b52
b37 b59
b38 b40
b38 b49
b38 b52
b38 b62
b38 b64
b39 b40
b39 b41
b39 b46
b39 b53
b39 b58
b39 b69
b40 b49
b40 b53
b40 b55
b40 b59
b40 b67
b41 b43
b41 b54
b42 b45
b42 b46
b42 b47
b42 b49
b42 b66
b43 b46
b43 b60
b43 b61
b44 b46
b44 b53
b44 b62
b44 b64
b44 b66
b46 b48
b46 b49
b46 b53
b46 b55
b46 b56
b47 b55
b47 b62
b47 b65
b47 b67
b47 b68
b48 b51
b49 b56
b49 b66
b51 b56
b51 b58
b51 b59
b51 b60
b51 b61
b51 b63
b51 b64
b51 b65
b51 b67
b51 b69
b52 b54
b52 b55
b52 b57
b52 b59
b52 b60
b52 b61
b52 b62
b52 b63
b52 b65
b52 b69
b52 b70
b53 b54
b53 b58
b53 b59
b53 b60
b53 b64
b53 b65
b53 b66
b53 b68
b53 b69
b53 b70
b54 b55
b54 b59
b54 b60
b54 b61
b54 b62
b54 b63
b54 b64
b54 b66
b54 b67
b55 b57
b55 b61
b55 b63
b55 b65
b55 b69
b56 b59
b56 b60
b56 b61
b56 b62
b56 b64
b56 b65
b56 b66
b56 b68
b57 b58
b57 b59
b57 b61
b57 b68
b57 b70
b58 b59
b58 b60
b58 b64
b58 b65
b58 b66
b58 b67
b59 b60
b59 b62
b59 b63
b60 b63
b60 b64
b60 b67
b60 b68
b60 b70
b61 b62
b61 b63
b61 b64
b61 b65
b61 b66
b61 b67
b61 b68
b61 b70
b62 b63
b62 b70
b63 b67
b63 b68
b63 b69
b63 b70
b64 b65
b64 b66
b64 b67
b64 b70
b65 b66
b65 b67
b65 b69
b65 b70
b66 b67
b66 b70
b67 b68
b67 b69
b68 b70
b69 b70
