40 66
a1 a2
a1 a3
a1 a9
a1 a16
a1 a25
a1 a26
a1 a35
a2 a3
a2 a14
a2 a18
a2 a19
a2 a20
a2 a28
a2 a35
a2 a38
a3 a4
a3 a10
a3 a14
a3 a19
a3 a21
a3 a31
a3 a32
a3 a39
a4 a5
a4 a6
a4 a7
a4 a9
a4 a14
a4 a19
a4 a20
a4 a23
a4 a25
a4 a36
a5 a6
a5 a10
a5 a15
a5 a26
a7 a30
a8 a21
a8 a34
a9 a16
a9 a34
a10 a16
a10 a25
a11 a28
a13 a29
a14 a21
a14 a33
a15 a22
a17 a26
a17 a34
a17 a38
a20 a21
a20 a29
a20 a31
a20 a39
a21 a24
a21 a34
a22 a29
a23 a27
a27 a37
a28 a29
a28 a31
a29 a36
a33 a34
a34 a39
27 49
b1 b2
b1 b3
b1 b8
b1 b9
b1 b15
b1 b16
b2 b3
b2 b7
b2 b8
b2 b12
b2 b15
b2 b19
b3 b4
b3 b7
b3 b10
b3 b12
b3 b17
b3 b19
b4 b5
b4 b6
b4 b11
b4 b14
b4 b18
b5 b6
b5 b8
b5 b13
b5 b17
b7 b10
b7 b15
b7 b16
b8 b15
b8 b16
b8 b18
b8 b19
b9 b11
b10 b12
b10 b19
b11 b12
b12 b19
b13 b14
b13 b16
b13 b17
b21 b22
b21 b23
b21 b24
b22 b25
b23 b26
b24 b27
b1 b21
