40 97
a1 a2
a1 a3
a1 a10
a1 a17
a1 a20
a1 a22
a1 a24
a1 a28
a1 a35
a2 a3
a2 a9
a2 a11
a2 a14
a2 a16
a2 a32
a3 a4
a3 a10
a3 a13
a3 a14
a3 a19
a3 a25
a3 a32
a3 a36
a3 a38
a4 a5
a4 a6
a4 a11
a4 a19
a4 a25
a4 a30
a5 a6
a5 a10
a5 a20
a5 a28
a5 a29
a5 a34
a5 a37
a7 a30
a7 a35
a8 a13
a9 a12
a9 a21
a9 a37
a9 a40
a10 a34
a10 a36
a10 a38
a11 a15
a11 a25
a11 a40
a12 a18
a12 a38
a13 a14
a13 a20
a13 a36
a14 a15
a14 a24
a15 a16
a15 a18
a15 a21
a15 a38
a17 a18
a17 a20
a17 a24
a17 a26
a17 a39
a18 a20
a18 a21
a18 a28
a18 a38
a19 a25
a19 a35
a19 a36
a19 a39
a20 a24
a21 a34
a22 a23
a22 a25
a22 a28
a22 a29
a22 a34
a22 a39
a23 a25
a23 a26
a23 a40
a24 a35
a25 a28
a25 a36
a25 a39
a28 a30
a29 a30
a31 a34
a31 a38
a31 a40
a34 a40
a36 a38
a37 a39
27 64
b1 b2
b1 b3
b1 b9
b1 b17
b1 b18
b2 b3
b2 b14
b2 b15
b2 b16
b2 b17
b3 b4
b3 b8
b3 b10
b3 b14
b3 b19
b4 b5
b4 b6
b4 b8
b4 b9
b4 b10
b4 b12
b4 b14
b4 b18
b5 b6
b5 b8
b5 b9
b5 b11
b7 b9
b7 b10
b7 b12
b7 b14
b7 b17
b8 b9
b8 b13
b9 b10
b9 b13
b9 b18
b10 b12
b10 b14
b10 b15
b10 b17
b10 b19
b11 b15
b11 b18
b11 b19
b12 b13
b12 b15
b12 b16
b12 b18
b13 b20
b14 b16
b14 b17
b14 b19
b17 b19
b17 b20
b18 b20
b19 b20
b21 b22
b21 b23
b21 b24
b22 b25
b23 b26
b24 b27
b1 b21
