37 73
a1 a2
a1 a5
a1 a8
a1 a10
a1 a11
a1 a15
a1 a16
a1 a21
a2 a3
a2 a6
a2 a10
a2 a14
a2 a16
a2 a19
a2 a20
a2 a21
a2 a22
a2 a23
a2 a26
a3 a4
a3 a7
a3 a9
a3 a15
a3 a17
a3 a19
a3 a22
a4 a5
a4 a8
a4 a21
a4 a23
a4 a27
a5 a6
a5 a11
a5 a13
a5 a16
a5 a18
a5 a19
a5 a27
a5 a29
a6 a7
a6 a14
a6 a16
a6 a18
a6 a22
a6 a25
a7 a8
a7 a10
a7 a12
a7 a18
a7 a21
a7 a24
a7 a27
a10 a11
a10 a13
a10 a21
a10 a22
a11 a16
a11 a21
a12 a15
a13 a19
a13 a26
a13 a28
a17 a24
a18 a21
a20 a25
a20 a26
a31 a32
a31 a33
a31 a34
a31 a35
a31 a36
a31 a37
a1 a31
49 109
b1 b2
b1 b5
b1 b8
b1 b11
b1 b12
b1 b14
b1 b19
b1 b24
b1 b26
b1 b29
b1 b33
b1 b34
b2 b3
b2 b6
b2 b10
b2 b19
b2 b25
b2 b26
b2 b27
b2 b29
b2 b33
b2 b38
b2 b39
b3 b4
b3 b7
b3 b10
b3 b11
b3 b17
b3 b19
b3 b21
b3 b23
b3 b28
b3 b37
b3 b38
b4 b5
b4 b8
b4 b9
b4 b13
b4 b23
b4 b29
b4 b32
b5 b6
b5 b10
b5 b11
b5 b13
b5 b22
b5 b24
b5 b28
b5 b31
b6 b7
b6 b9
b6 b10
b6 b11
b6 b18
b6 b20
b6 b23
b6 b29
b6 b32
b6 b33
b6 b35
b6 b36
b6 b39
b7 b8
b7 b11
b7 b12
b7 b13
b7 b19
b7 b23
b7 b26
b7 b27
b7 b30
b7 b31
b9 b22
b9 b37
b10 b14
b10 b33
b12 b14
b13 b14
b13 b22
b13 b38
b14 b15
b14 b24
b15 b22
b15 b31
b17 b24
b17 b33
b18 b35
b18 b39
b19 b39
b20 b22
b20 b27
b21 b28
b22 b37
b23 b24
b25 b38
b27 b29
b28 b31
b28 b34
b28 b38
b37 b38
b41 b42
b42 b43
b43 b44
b44 b45
b45 b46
b45 b47
b45 b48
b45 b49
b1 b41
