50 150
a1 a4
a1 a8
a1 a15
a1 a28
a1 a35
a2 a11
a2 a13
a2 a24
a2 a28
a2 a30
a2 a33
a2 a40
a3 a6
a3 a24
a3 a34
a3 a35
a4 a18
a4 a21
a4 a23
a4 a27
a4 a31
a4 a36
a4 a44
a4 a45
a4 a46
a5 a19
a5 a44
a6 a7
a6 a13
a6 a16
a6 a25
a6 a27
a6 a32
a6 a35
a6 a38
a6 a46
a7 a9
a7 a21
a7 a23
a7 a25
a7 a30
a7 a33
a7 a38
a7 a47
a7 a48
a9 a14
a9 a21
a9 a34
a9 a35
a10 a11
a10 a25
a10 a27
a10 a33
a10 a36
a10 a38
a11 a12
a11 a20
a11 a35
a11 a37
a11 a39
a11 a44
a12 a20
a12 a21
a12 a24
a12 a25
a12 a27
a12 a32
a12 a37
a12 a46
a13 a19
a13 a44
a14 a29
a14 a30
a14 a37
a15 a29
a15 a34
a15 a35
a15 a42
a15 a44
a15 a46
a15 a47
a16 a20
a16 a24
a16 a31
a16 a33
a16 a36
a16 a41
a16 a47
a17 a31
a17 a41
a18 a23
a18 a27
a18 a31
a18 a34
a18 a42
a19 a30
a19 a32
a20 a23
a20 a26
a20 a28
a20 a47
a21 a29
a21 a30
a21 a39
a21 a41
a21 a49
a23 a30
a23 a42
a23 a47
a24 a34
a24 a48
a25 a29
a26 a34
a26 a42
a26 a43
a26 a45
a26 a46
a26 a49
a27 a32
a27 a44
a27 a46
a27 a48
a28 a29
a28 a44
a29 a30
a29 a35
a29 a40
a30 a36
a30 a41
a31 a32
a31 a35
a31 a38
a31 a45
a31 a46
a32 a36
a35 a38
a35 a42
a36 a40
a37 a40
a37 a43
a37 a46
a38 a45
a39 a47
a39 a48
a40 a42
a43 a45
a45 a46
a45 a48
a46 a48
a47 a49
