50 200
a1 a2
a1 a6
a1 a9
a1 a10
a1 a11
a1 a16
a1 a18
a1 a19
a1 a23
a1 a27
a1 a30
a1 a33
a1 a42
a2 a5
a2 a10
a2 a12
a2 a27
a2 a46
a3 a13
a3 a15
a3 a16
a3 a18
a3 a19
a3 a20
a3 a24
a3 a25
a3 a26
a3 a27
a3 a28
a3 a31
a3 a34
a3 a46
a3 a49
a4 a11
a4 a14
a4 a15
a4 a27
a4 a28
a4 a29
a4 a33
a4 a37
a4 a43
a4 a45
a4 a48
a5 a22
a5 a28
a5 a35
a5 a37
a5 a43
a5 a48
a6 a7
a6 a10
a6 a13
a6 a14
a6 a16
a6 a28
a6 a31
a6 a41
a6 a45
a7 a14
a7 a15
a7 a23
a8 a11
a8 a12
a8 a20
a8 a29
a8 a43
a8 a47
a8 a48
a8 a49
a9 a10
a9 a15
a9 a17
a9 a19
a9 a20
a9 a34
a10 a36
a10 a37
a10 a39
a10 a40
a11 a26
a11 a27
a11 a31
a11 a32
a11 a44
a11 a46
a12 a23
a12 a28
a12 a34
a12 a35
a12 a41
a12 a44
a13 a23
a13 a39
a13 a44
a13 a46
a13 a47
a13 a48
a13 a49
a14 a18
a14 a35
a14 a36
a14 a47
a15 a29
a15 a35
a15 a46
a15 a47
a16 a17
a16 a18
a16 a20
a16 a22
a16 a23
a16 a27
a16 a31
a16 a35
a16 a46
a17 a18
a17 a36
a18 a33
a18 a38
a18 a41
a18 a49
a19 a30
a19 a38
a19 a41
a19 a43
a19 a45
a20 a21
a20 a25
a21 a24
a21 a29
a21 a38
a21 a47
a21 a49
a22 a25
a22 a26
a22 a29
a22 a45
a22 a48
a23 a35
a23 a48
a23 a49
a24 a26
a24 a27
a24 a33
a24 a41
a24 a45
a25 a28
a25 a30
a25 a36
a25 a46
a26 a37
a26 a47
a27 a29
a27 a32
a27 a39
a27 a42
a27 a45
a28 a33
a28 a43
a28 a49
a29 a33
a29 a40
a30 a41
a30 a43
a30 a44
a30 a46
a30 a47
a31 a35
a31 a37
a31 a44
a31 a48
a31 a49
a33 a37
a33 a40
a33 a41
a33 a43
a33 a45
a33 a46
a33 a47
a34 a40
a34 a41
a34 a42
a34 a48
a36 a42
a36 a44
a36 a48
a37 a40
a37 a46
a37 a49
a38 a40
a39 a42
a39 a47
a40 a43
a40 a48
a41 a45
a43 a45
a43 a48
a45 a47
a46 a49
