40 66
a1 a2
a1 a3
a1 a12
a1 a14
a1 a18
a1 a19
a1 a23
a1 a25
a1 a27
a1 a29
a1 a37
a2 a3
a2 a7
a2 a17
a2 a18
a2 a20
a2 a22
a3 a4
a3 a8
a3 a21
a3 a24
a3 a27
a3 a29
a3 a34
a4 a5
a4 a6
a4 a10
a4 a17
a4 a26
a4 a29
a5 a6
a5 a9
a5 a12
a5 a16
a5 a20
a5 a26
a5 a31
a7 a16
a7 a37
a9 a13
a9 a30
a10 a15
a10 a20
a10 a23
a11 a13
a11 a16
a11 a29
a11 a30
a13 a30
a13 a37
a14 a20
a14 a34
a14 a37
a15 a19
a15 a34
a16 a24
a18 a31
a19 a31
a20 a34
a23 a39
a24 a33
a25 a29
a26 a36
a28 a34
a33 a37
a35 a37
27 46
b1 b2
b1 b3
b1 b7
b1 b9
b1 b14
b1 b18
b2 b3
b2 b15
b2 b17
b2 b18
b3 b4
b3 b9
b3 b18
b3 b19
b4 b5
b4 b6
b4 b8
b4 b13
b4 b14
b4 b16
b4 b17
b5 b6
b5 b12
b5 b13
b5 b14
b5 b15
b5 b19
b8 b10
b8 b19
b9 b12
b10 b16
b10 b18
b10 b19
b11 b18
b11 b19
b13 b18
b14 b16
b15 b18
b15 b19
b21 b22
b21 b23
b21 b24
b22 b25
b23 b26
b24 b27
b1 b21
