!Alpha: 0.600000!Shared Interactions vs Total Sequence Similarity: 3548 277.095084
!Global Score: 2239.638033704296
a245 b245
a1495 b3949
a2512 b3619
a2219 b2291
a2642 b2839
a2903 b3234
a636 b636
a1126 b1126
a1638 b1638
a2364 b627
a1883 b599
a2048 b373
a2328 b571
a570 b570
a2287 b576
a1426 b1426
a1115 b1115
a384 b384
a2753 b1710
a956 b956
a5 b5
a778 b778
a2186 b3250
a481 b481
a351 b1354
a2090 b1591
a1593 b1593
a1000 b1000
a712 b2318
a2270 b446
a2761 b264
a262 b262
a318 b318
a1444 b1444
a1997 b1997
a2827 b817
a2782 b3308
a1770 b1770
a593 b677
a2449 b1322
a1671 b1671
a1984 b1984
a2386 b3582
a2230 b2192
a1657 b1657
a162 b2762
a1263 b1263
a1155 b1155
a2033 b22
a2923 b802
a800 b800
a2019 b302
a306 b306
a64 b3745
a1737 b2237
a1044 b1044
a1825 b1825
a1554 b1554
a513 b513
a1036 b1036
a176 b2928
a875 b2072
a24 b24
a1373 b1373
a1777 b1777
a1169 b1169
a156 b156
a2300 b1587
a525 b525
a1072 b1072
a1925 b1925
a2815 b2087
a647 b647
a2846 b350
a987 b1625
a1024 b589
a1386 b1386
a2120 b2822
a2073 b572
a2938 b2039
a2429 b2250
a2196 b390
a692 b3966
a1175 b1175
a2536 b2446
a1704 b1704
a861 b861
a2965 b2950
a130 b2781
a2473 b3409
a1526 b1526
a2294 b1450
a1890 b1890
a2860 b1917
a747 b2453
a1578 b2151
a209 b209
a1057 b3334
a51 b2591
a2621 b1033
a1310 b2855
a1107 b1107
a1348 b1348
a416 b416
a2355 b3299
a334 b2041
a404 b2978
a2660 b73
a2591 b1408
a1398 b1398
a1139 b1139
a2378 b1123
a1480 b3275
a1543 b3040
a232 b3251
a1479 b3442
a844 b2137
a1739 b2319
a2491 b3512
a2455 b319
a810 b810
a924 b924
a255 b255
a2014 b1328
a2956 b3038
a1432 b1432
a2403 b1509
a1279 b1279
a1471 b1471
a2467 b3244
a31 b31
a2081 b3548
a1603 b2411
a284 b998
a1680 b1680
a2234 b508
a2503 b1434
a14 b11
a1212 b3449
a1903 b1903
a1580 b1580
a1496 b1496
a244 b2737
a526 b526
a2457 b357
a106 b106
a1557 b2373
a1127 b1127
a1639 b1639
a711 b2758
a592 b592
a2280 b284
a577 b577
a1736 b1736
a163 b163
a2574 b1603
a385 b3924
a175 b175
a2531 b1497
a1363 b1363
