!Alpha: 0.600000!Shared Interactions vs Total Sequence Similarity: 4412 351.567422
!Global Score: 2787.826968695611
a411 b411
a2039 b3648
a1393 b1393
a2994 b3975
a742 b742
a1415 b1415
a1382 b1382
a1253 b1253
a623 b623
a2659 b3274
a1103 b3921
a2822 b2725
a1724 b1724
a1610 b1610
a609 b609
a55 b55
a1178 b1178
a2228 b3961
a92 b92
a324 b324
a656 b656
a2073 b3479
a132 b132
a1707 b2165
a2985 b3219
a665 b665
a2295 b1300
a696 b696
a1313 b1313
a1527 b1220
a2333 b2116
a984 b984
a1974 b1974
a2937 b3739
a2200 b156
a1342 b1342
a811 b2060
a2819 b3644
a596 b3228
a2407 b3006
a2804 b3852
a1943 b1943
a581 b581
a1067 b3933
a970 b970
a759 b759
a2500 b3503
a286 b286
a1112 b1112
a169 b169
a1601 b1601
a1286 b1605
a2905 b2049
a1767 b1767
a385 b385
a541 b541
a2184 b178
a2262 b3864
a1712 b1712
a1519 b1519
a1756 b1756
a892 b892
a310 b310
a1662 b1662
a1191 b1191
a85 b85
a921 b921
a1327 b3301
a2688 b2234
a2278 b3715
a1677 b1677
a1210 b1210
a901 b901
a2734 b2934
a1432 b1432
a1695 b1695
a120 b120
a483 b483
a2748 b3705
a792 b792
a2236 b2303
a1818 b2974
a2774 b2081
a305 b305
a2838 b3760
a2474 b2127
a2665 b2430
a1045 b1045
a1825 b1825
a2585 b2410
a423 b423
a2176 b3329
a2017 b2689
a993 b993
a841 b841
a17 b17
a1149 b1149
a435 b435
a1486 b1486
a536 b536
a2119 b2863
a2881 b2933
a1584 b1584
a1746 b1746
a1870 b3676
a1462 b1462
a150 b150
a2505 b2740
a367 b367
a1123 b1123
a2313 b3669
a577 b577
a957 b957
a3 b3
a2254 b2386
a558 b558
a1591 b1591
a1003 b1003
a448 b448
a269 b269
a1200 b1200
a2216 b2148
a2047 b2868
a676 b676
a2364 b2180
a2709 b3408
a1883 b1082
a935 b935
a2383 b3090
a2436 b3094
a874 b874
a2282 b2641
a1959 b1959
a173 b173
a1446 b1446
a430 b430
a2301 b436
a854 b854
a26 b26
a711 b711
a2077 b1012
a1250 b2873
a645 b645
a743 b743
a1416 b1416
a622 b622
a2823 b1116
a1100 b1100
a1611 b1611
a2984 b680
a2340 b3566
a1520 b1520
a2995 b2835
a325 b325
a608 b2187
a2997 b3106
a131 b131
a664 b664
a2681 b3022
a2658 b3595
a1299 b3688
a2934 b2151
a697 b697
a2130 b2128
a2201 b2122
a1312 b1312
a2294 b3081
a657 b3086
a54 b54
a985 b985
a1376 b1376
a1700 b1700
a1343 b1343
a412 b412
a2224 b3969
a2229 b2909
a1680 b2674
a2507 b2753
a281 b281
a1600 b1600
a1764 b1764
a2745 b3344
a2015 b2705
a2735 b2471
a1661 b1661
a1190 b1190
a88 b88
a812 b812
a922 b922
a256 b256
a1329 b1329
a1678 b1678
a1211 b1211
a2889 b2827
a2177 b3034
a2662 b1881
a2818 b1762
a791 b791
a2775 b1048
a422 b422
a840 b840
a1238 b2111
a2596 b3439
a1819 b1819
a1940 b3215
a1384 b3188
a1433 b1433
a1018 b2716
a1485 b1485
a535 b535
a2082 b3536
a889 b889
a1585 b1585
a238 b238
a2954 b704
a2044 b2086
a2076 b2747
a2215 b2290
a364 b364
a1124 b1124
a576 b576
a1203 b2656
a2363 b3815
a956 b956
a2382 b1356
a1002 b1002
a268 b268
a677 b677
a2435 b3323
a2856 b2854
a2921 b2600
a1590 b2927
a855 b2195
a1882 b1882
a809 b809
a934 b934
a2609 b1238
a2310 b3515
a1931 b2943
a875 b875
a1958 b1958
a2283 b2611
a172 b172
a1445 b1445
a431 b431
a27 b27
a2677 b1489
a710 b710
a153 b153
a2253 b2679
a2935 b2277
a644 b644
a1406 b1406
a1405 b1405
a1417 b1417
a621 b621
a2996 b2812
a1726 b1726
a1101 b1101
a2440 b1614
a57 b57
a869 b869
a1251 b2392
a2121 b2096
a1521 b1521
a328 b328
a1265 b3544
a654 b654
a2537 b2877
a1897 b1897
a829 b829
a130 b130
a2202 b3419
a2653 b2508
a1157 b1157
a663 b663
a1025 b1025
a694 b694
a1392 b3822
a1311 b1311
a982 b982
